"Library","Qty","Parts","Description","Value","Package","LABEL","LABLEL","MPN","OC_FARNELL","OC_NEWARK","PACKAGE","PROD_ID","RS-PART","SF_SKU","SUPPLIER",
"INSTRUO","1","T1_CLOCK","","2N3904","TRANSISTOR_SINGLE_N-TYPE","","T1_Start","","","","","","725-8616 ","","",
"BluePill","1","U$1","","Blue Pill","BLUE_PILL","","","","","","","","","","",
"GMSN-R2Project","1","U2-MCP4922","","MCP4922MCP4922-SO14","SO14","","","","","","","","402-910 ","","",
"INSTRUO","1","BUT3","","PB6149L-5","PB6149L","","","","","","","","","","",
"INSTRUO","10","CV1, CV2, CV3, CV4, RESET, START, TRIG1, TRIG2, TRIG3, TRIG4","","S_JACK","S_JACK","","","","","","","","","","",
"INSTRUO","1","T2_RESET","","TRANSISTOR_MMBT3904","TRANSISTOR_SINGLE_N-TYPE","T2_Reset","","","","","","","725-8616 ","","",
"rcl","3","C3, C5, C8","CAPACITOR, American symbol","100n","C0805K","","","","","","","","","","",
"rcl","4","C1, C2, C15, C16","CAPACITOR, American symbol","10nF","C0805","","","","","","","","","","",
"rcl","1","C6","CAPACITOR, American symbol","10u","C0805K","","","","","","","","","","",
"GMSN","1","D1","Diode","1N4001","SMADIODE","","","","","","","","","","",
"SparkFun-Connectors","1","POWER","Multi connection point. Often used as Generic Header-pin footprint for 0.1 inch spaced/style header connections","","2X5-SHROUDED_SMD","","","","","","","CONN-09508","","","",
"SparkFun-Connectors","1","PROGRAM","Multi connection point. Often used as Generic Header-pin footprint for 0.1 inch spaced/style header connections","Program","1X06","","","","","","","CONN-08437","","","",
"GMSN-R2Project","1","IC2","OP AMP","MCP6004D","SO14","","","","","","","","","","",
"GMSN-R2Project","1","U1","OP AMP","MCP6004D","SO14","","","","","","","","628-3481 (10)","","",
"Adafruit_1.3_128x64_OLED","1","DISPLAY","PIN HEADER","","MICROBUILDER_1X08_ROUND","","","","","","","","","","",
"GMSN","2","C4, C7","POLARIZED CAPACITOR, American symbol","10u","153CLV-0505","","","","","","","","","","",
"GMSN-R2Project","1","REF","PRECISION MICROPOWER SHUNT VOLTAGE REFERENCE","LM4040","SOT95P237X112-3N","","","LM4040A30IDBZT","1755108","58K5870","3-SOT-23","","809-6343","","TEXAS INSTRUMENTS",
"GMSN","1","IC1","Positive VOLTAGE REGULATOR","78M05","TO252","","","","","","","","","","",
"rcl","3","R16, R19, R23","RESISTOR, American symbol","100K","R0805","","","","","","","","","","",
"rcl","17","R1, R2, R3, R4, R5, R6, R7, R8, R9, R10, R11, R12, R15, R18, R21, R22, R24","RESISTOR, American symbol","10K","R0805","","","","","","","","","","",
"rcl","2","R17, R20","RESISTOR, American symbol","1M","R0805","","","","","","","","","","",
"rcl","1","R14","RESISTOR, American symbol","220R","R0805","","","","","","","","","","",
"rcl","1","R13","RESISTOR, American symbol","2K","R0805","","","","","","","","","","",
"SparkFun-Switches","2","S1, S2","Rotary Encoder w/ Select Switch","ENCODER-SWITCH","ROTARY_ENC_PLAIN","","","","","","","","","COM-09117","",
